ZIP,SALE_PRICE,TOTAL_UNITS,GROSS_SQUARE_FEET,LAT,LNG
02131,250.00,2,,42.282618795779484,-71.13306792912681
02131,65.00,1,,42.286240821867416,-71.13437396457161
02131,60.00,1,,42.286448197788786,-71.13932538848039
02130,429.00,4,,42.320510860484134,-71.11215759278208
02118,225.00,0,,42.34113339953168,-71.0800111913047
02116,250.00,2,,42.345159717726546,-71.071673467821
02116,50.00,1,,42.346187963172284,-71.07314898454436
02118,115.00,1,,42.3429863477053,-71.07030039926936
02116,150.00,0,,42.34343806690266,-71.07688355946276
02118,170.00,0,,42.33519276568347,-71.0749509404685
02116,125.00,1,,42.344124982631705,-71.0704830352942
02116,250.00,2,,42.34521620497881,-71.0718595272896
02116,229.00,2,,42.34473147773383,-71.07090818312652
02118,90.00,1,,42.33767012629468,-71.07640773355523
02130,95.00,1,,42.30633268571335,-71.11902460456068
02210,200.00,1,,42.34430213679429,-71.06899694278945
02118,100.00,0,,42.34079541636332,-71.0807041719754
02118,306.00,2,,42.34121342173442,-71.0757105405123
02118,229.00,2,,42.34380979831552,-71.06929087357383
02118,199.00,1,,42.34562568447279,-71.06321265493553
02118,67.00,1,,42.339544636587625,-71.07387035555206
02118,120.00,0,,42.34258199617985,-71.07650344409146
02118,239.00,0,,42.34178015511022,-71.08004973669456
02118,130.00,1,,42.3368527229644,-71.07306169541253
02116,197.00,0,,42.34770355986914,-71.07152833868011
02130,69.00,1,,42.30992055594116,-71.11072691758284
02118,85.00,1,,42.339308963259484,-71.06495498840539
02118,225.00,1,,42.342761605810324,-71.07469313198953
02118,1300.00,5,,42.34241482588717,-71.07451934312452
02118,266.00,2,,42.336357255160316,-71.07444244408435
02118,160.00,1,,42.33569268282436,-71.07463210582779
02116,150.00,0,,42.34407303803346,-71.07532811185658
02118,280.00,2,,42.342459308679885,-71.07890447746665
02118,60.00,1,,42.339093859346114,-71.07900523916494
02118,225.00,1,750,42.33817959209641,-71.06462945503596
02116,170.00,1,,42.34311950529787,-71.07585049962194
02130,85.00,1,,42.30757425614119,-71.13463036679991
02118,168.00,1,,42.34447431637321,-71.07698271329764
02118,183.00,1,,42.34348781143775,-71.07680165158366
02116,137.00,0,,42.34366470397223,-71.07562188480422
02118,300.00,2,,42.34389101690596,-71.06948267335085
02118,166.00,0,,42.335003376033924,-71.0750936145144
02116,350.00,2,,42.34343207030431,-71.0729121344843
02118,149.00,1,,42.33905138738604,-71.07641049307902
02118,190.00,1,,42.3380745881418,-71.07532867247558
02118,180.00,1,,42.34266914158188,-71.06957670158451
02118,99.00,1,,42.33533589134802,-71.07425652058345
02130,69.00,1,,42.30997682845222,-71.10962020956269
02118,110.00,0,,42.33981502500543,-71.07770093493704
02118,210.00,1,,42.3380771614161,-71.07509284636787
02116,155.00,0,,42.345045581707545,-71.07576543977315
02118,178.00,1,,42.33617223217502,-71.07542723618671
02118,600.00,4,,42.34230308536128,-71.08036333667405
02116,550.00,3,,42.34565356501126,-71.07650502956932
02116,170.00,1,,42.34451312552965,-71.07422168503966
02118,129.00,0,,42.34385225246119,-71.07925307675536
02116,160.00,0,,42.34386190737302,-71.07419704066525
02116,250.00,1,,42.34529169535237,-71.07656328462951
02130,165.00,1,,42.30907389692646,-71.11254191159418
02118,149.00,2,,42.34453844883631,-71.06602187825182
02116,175.00,1,,42.34342894519076,-71.07400280761591
02116,150.00,1,,42.347079923982996,-71.07361071300343
02118,250.00,1,,42.34126176465926,-71.07719172451444
02118,100.00,1,,42.34346177505992,-71.0641953929085
02118,200.00,2,,42.340943167893215,-71.07704194672662
02118,120.00,0,,42.336347792469645,-71.07665638181408
02116,150.00,0,,42.34422218579844,-71.07537505592731
02116,152.00,0,,42.344025101552944,-71.0771651608005
02116,200.00,1,,42.34433316579844,-71.07106172025057
02130,150.00,2,,42.31357233912847,-71.1138193264009
02118,170.00,1,,42.338323186341185,-71.07629653396535
02118,157.00,1,,42.34145741839755,-71.07640609858424
02118,229.00,1,,42.344073471375246,-71.07785150050033
,299.00,1,,42.33618514454923,-71.07342145580922
02116,165.00,1,,42.343341385180246,-71.07223141756667
02116,210.00,2,,42.3431761338457,-71.07708426973839
02118,110.00,1,,42.33679501814413,-71.07648754166487
02118,400.00,2,,42.343094950510995,-71.07979757211612
02118,575.00,2,,42.341412009543056,-71.08113734051852
02116,147.00,0,,42.345567911049734,-71.07735542129099
02130,267.00,4,,42.29644507590941,-71.11118779742438
02118,200.00,1,,42.34195414470815,-71.06994870141153
02118,115.00,0,,42.34269698618983,-71.0754573598207
02118,110.00,1,,42.33605867277163,-71.07476967504456
02118,500.00,1,,42.34116166144551,-71.07697592547242
02116,250.00,1,,42.34272173190373,-71.07838891299248
02118,149.00,1,,42.33699527728718,-71.07436551262174
02118,200.00,1,,42.3436420563734,-71.0709686179088
02118,417.00,3,,42.33710999881373,-71.07713064126249
02118,600.00,2,,42.3414449942222,-71.080511439692
02118,175.00,1,,42.34237399125715,-71.07560149459879
02130,87.00,1,,42.31169373635401,-71.10116460144604
02118,69.00,1,,42.34071458337621,-71.07406084459463
02116,150.00,0,,42.345573115899285,-71.07761895850723
02118,180.00,1,,42.3420347122069,-71.07256418644232
02116,150.00,1,,42.343391713039416,-71.07517784040168
02116,137.00,0,,42.345002980504304,-71.07747015790487
02118,800.00,3,,42.34363867841806,-71.07023501053976
02116,199.00,1,,42.34503080856176,-71.07340513211166
02118,133.00,1,,42.34362361686261,-71.06646126671465
02118,299.00,3,,42.337502078448814,-71.0765379794084
02118,135.00,1,,42.33767182556047,-71.06988900199927
02130,62.00,1,,42.29985744012216,-71.11235604348676
02118,275.00,2,,42.34337256743142,-71.0695136811169
02118,99.00,1,,42.343659187452296,-71.07210303740261
02118,350.00,1,,42.33816881242794,-71.07495053295358
02116,170.00,0,,42.34499777117262,-71.07253947669034
02118,450.00,2,,42.33650485031658,-71.0756964118257
02118,186.00,,,42.343453595018936,-71.07966122077806
02118,300.00,1,,42.34482585933533,-71.0768746326226
02118,200.00,1,,42.34187597892177,-71.07814908549496
02116,189.00,1,,42.34541183438231,-71.07566909983645
